Literal value,Placeholder PID
width of https://rdf.ng-london.org.uk/raphael/resource/NG744,IFZZ-Z4G9-TM61-J5JM
medium of https://rdf.ng-london.org.uk/raphael/resource/NG744,FIPK-XSH7-VI2M-H1CF
production of https://rdf.ng-london.org.uk/raphael/resource/NG744,CG6H-VZ0T-DBHL-1UYQ
short title of https://rdf.ng-london.org.uk/raphael/resource/NG744,BBO1-PHZF-M5DK-CFZZ
height of https://rdf.ng-london.org.uk/raphael/resource/NG744,EGIR-72R5-U0PT-HA84
https://rdf.ng-london.org.uk/raphael/resource/RRR_16.30ab,QT5L-TW40-3Z13-NN7C
short title of https://rdf.ng-london.org.uk/raphael/resource/RRR_16.30ab,VX28-KVKJ-4M7Q-R0CM
acquisition of https://rdf.ng-london.org.uk/raphael/resource/RRR_16.30ab,M75B-4DJR-KW05-XCCV
production of https://rdf.ng-london.org.uk/raphael/resource/RRR_16.30ab,P39Y-T4UD-B28S-L3ZL
support material of https://rdf.ng-london.org.uk/raphael/resource/RRR_16.30ab,K4ON-KKSI-7X6C-WCDK
height of https://rdf.ng-london.org.uk/raphael/resource/RRR_16.30ab,2OCC-VVKO-IEHY-57ME
medium of https://rdf.ng-london.org.uk/raphael/resource/RRR_16.30ab,MGBH-M3XA-MWAD-8ZKW
width of https://rdf.ng-london.org.uk/raphael/resource/RRR_16.30ab,7OO0-R6T5-23PU-2IBD
title of https://rdf.ng-london.org.uk/raphael/resource/RRR_16.30ab,8EQB-0OF2-EB9I-TCGE
https://rdf.ng-london.org.uk/raphael/resource/DPG243,KVGB-VKRV-URRG-9AUK
acquisition of https://rdf.ng-london.org.uk/raphael/resource/DPG243,AFVB-9Q3B-0FR0-DPHG
title of https://rdf.ng-london.org.uk/raphael/resource/DPG243,RBOU-R2O1-MR82-PDKO
support material of https://rdf.ng-london.org.uk/raphael/resource/DPG243,BVD1-UNPY-V67A-BW98
production of https://rdf.ng-london.org.uk/raphael/resource/DPG243,56FM-8M1I-ZKQK-VCUH
short title of https://rdf.ng-london.org.uk/raphael/resource/DPG243,MUNG-KL5E-TU30-A5BK
medium of https://rdf.ng-london.org.uk/raphael/resource/DPG243,A9RG-RHSL-XQUE-PQFV
height of https://rdf.ng-london.org.uk/raphael/resource/DPG243,K7IE-Q12R-YK4N-PD4V
width of https://rdf.ng-london.org.uk/raphael/resource/DPG243,EFWT-2650-HOET-6EGK
https://rdf.ng-london.org.uk/raphael/resource/P16e3,PR7V-NYJH-JN3X-J0U3
production of https://rdf.ng-london.org.uk/raphael/resource/P16e3,35C5-TI1J-4SD2-FCIS
short title of https://rdf.ng-london.org.uk/raphael/resource/P16e3,N3T0-PEF4-NGWZ-QJHF
medium of https://rdf.ng-london.org.uk/raphael/resource/P16e3,KFNQ-FS27-GCSK-0DNV
support material of https://rdf.ng-london.org.uk/raphael/resource/P16e3,YDKU-JV96-FF8P-5Y7I
width of https://rdf.ng-london.org.uk/raphael/resource/P16e3,1DWV-NFYS-KUNM-903K
acquisition of https://rdf.ng-london.org.uk/raphael/resource/P16e3,AEET-ACOS-HRRJ-NY32
title of https://rdf.ng-london.org.uk/raphael/resource/P16e3,7E00-3ITF-IVSI-WMQ7
